Parameters of the Gaussians are: dimensions = 2 mean_range = (0 -100) cov_range = (-10 -  10) num_samples = 10 
Time stamp,Numper of points per gaussian,Structure_index
0.6101515293121338,100,8.827753007703668
2.174389123916626,200,15.70310276359049
4.832061290740967,300,40.691186554910885
8.141131401062012,400,56.91079071045457
13.21767544746399,500,38.91445059684188
18.39316987991333,600,61.90913125988748
23.55744743347168,700,76.428342781144
29.82057547569275,800,89.58547743015447
36.940579652786255,900,118.98281554088973
44.883623361587524,1000,106.9219501390931
59.30627775192261,1100,122.65350221523535
70.07986807823181,1200,336.7553207004821
78.3071517944336,1300,182.3240173729454
88.95784568786621,1400,191.33454182733863
100.6563572883606,1500,235.89849964736658
120.02899122238159,1600,966.2147290060504
127.36357188224792,1700,284.3785169233653
144.29464030265808,1800,311.24577446448683
161.3878800868988,1900,325.51389195355716
173.38840293884277,2000,297.3154265316502
